Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2002-08-12,450.1000061035156,459.75,450.1000061035156,453.3999938964844,262.78497314453125,50695,BAJAJHLDNG.NS
2002-08-13,454.5,454.5,445.25,447.3500061035156,259.2784118652344,25663,BAJAJHLDNG.NS
2002-08-14,416.0,449.0,416.0,434.7999877929688,252.004623413086,105219,BAJAJHLDNG.NS
2002-08-15,434.7999877929688,434.7999877929688,434.7999877929688,434.7999877929688,252.004623413086,0,BAJAJHLDNG.NS
2002-08-16,412.5,441.0,412.5,427.6499938964844,247.8605499267578,143118,BAJAJHLDNG.NS
2002-08-19,430.0,431.3999938964844,425.0499877929688,429.6499938964844,249.019775390625,68381,BAJAJHLDNG.NS
2002-08-20,432.1000061035156,442.8500061035156,425.0,437.6499938964844,253.65646362304688,53951,BAJAJHLDNG.NS
2002-08-21,445.0,445.0,434.0499877929688,434.9500122070313,252.0915679931641,33664,BAJAJHLDNG.NS
2002-08-22,430.1000061035156,438.75,427.2999877929688,428.1499938964844,248.1503753662109,123164,BAJAJHLDNG.NS
2002-08-23,427.0,428.8999938964844,418.5,419.8500061035156,243.3397216796875,170959,BAJAJHLDNG.NS
2002-08-26,419.5,425.0,414.5,417.75,242.12271118164065,136918,BAJAJHLDNG.NS
2002-08-27,420.0,420.0,416.25,417.2000122070313,241.80386352539065,158270,BAJAJHLDNG.NS
2002-08-28,440.0,440.0,413.0,417.8999938964844,242.20957946777344,70438,BAJAJHLDNG.NS
2002-08-29,402.75,419.9500122070313,402.75,418.1000061035156,242.32553100585932,77106,BAJAJHLDNG.NS
2002-08-30,418.0,420.0,409.0,418.4500122070313,242.5283660888672,54948,BAJAJHLDNG.NS
2002-09-02,420.0,423.8999938964844,408.5499877929688,415.7999877929688,240.992416381836,128169,BAJAJHLDNG.NS
2002-09-03,419.0,419.0,412.6000061035156,416.1000061035156,241.166259765625,109790,BAJAJHLDNG.NS
2002-09-04,415.0,420.0,413.5,418.25,242.41244506835932,66258,BAJAJHLDNG.NS
2002-09-05,420.0,425.0,418.2999877929688,419.7000122070313,243.2528686523437,82870,BAJAJHLDNG.NS
2002-09-06,420.0,420.0,416.1000061035156,419.1499938964844,242.9341735839844,43511,BAJAJHLDNG.NS
2002-09-09,420.0,420.3500061035156,416.9500122070313,419.8999938964844,243.3687438964844,52255,BAJAJHLDNG.NS
2002-09-10,419.8999938964844,419.8999938964844,419.8999938964844,419.8999938964844,243.3687438964844,0,BAJAJHLDNG.NS
2002-09-11,420.0,423.0,419.0,419.75,243.28189086914065,33760,BAJAJHLDNG.NS
2002-09-12,420.0,421.0,417.25,420.1000061035156,243.48472595214844,35129,BAJAJHLDNG.NS
2002-09-13,418.0499877929688,425.0,418.0499877929688,420.3999938964844,243.65853881835932,80399,BAJAJHLDNG.NS
2002-09-16,420.0,423.75,417.25,419.9500122070313,243.39773559570312,13136,BAJAJHLDNG.NS
2002-09-17,422.0,422.0,407.25,413.5499877929688,239.68836975097656,54181,BAJAJHLDNG.NS
2002-09-18,410.0,416.0,395.7000122070313,401.3500061035156,232.617416381836,63100,BAJAJHLDNG.NS
2002-09-19,401.0,402.0,375.5499877929688,383.8999938964844,222.50363159179688,188291,BAJAJHLDNG.NS
2002-09-20,375.0,382.5,375.0,377.1000061035156,218.56246948242188,165565,BAJAJHLDNG.NS
2002-09-23,375.0,381.5,366.25,371.7000122070313,215.4326171875,106401,BAJAJHLDNG.NS
2002-09-24,372.0,383.8500061035156,370.8999938964844,380.8500061035156,220.73583984375,110841,BAJAJHLDNG.NS
2002-09-25,382.7999877929688,387.3999938964844,379.0,384.5,222.8513641357422,45260,BAJAJHLDNG.NS
2002-09-26,380.0,391.0,380.0,382.2999877929688,221.57627868652344,30791,BAJAJHLDNG.NS
2002-09-27,380.0,402.0,380.0,398.9500122070313,231.22640991210932,123943,BAJAJHLDNG.NS
2002-09-30,395.0499877929688,405.0,388.0499877929688,389.6499938964844,225.83624267578125,86196,BAJAJHLDNG.NS
2002-10-01,385.0499877929688,390.0,368.1499938964844,379.25,219.80856323242188,137781,BAJAJHLDNG.NS
2002-10-02,379.25,379.25,379.25,379.25,219.80856323242188,0,BAJAJHLDNG.NS
2002-10-03,385.0,385.0,366.2000122070313,367.9500122070313,213.2592315673828,73417,BAJAJHLDNG.NS
2002-10-04,367.0499877929688,374.7999877929688,360.7999877929688,366.1000061035156,212.1869506835937,76395,BAJAJHLDNG.NS
2002-10-07,365.0,372.5,363.1000061035156,367.75,213.14328002929688,99380,BAJAJHLDNG.NS
2002-10-08,367.0,387.9500122070313,367.0,384.75,222.9962615966797,103854,BAJAJHLDNG.NS
2002-10-09,389.5,396.0,386.1499938964844,392.2000122070313,227.3142242431641,79901,BAJAJHLDNG.NS
2002-10-10,393.0,409.0,393.0,405.75,235.1675720214844,181941,BAJAJHLDNG.NS
2002-10-11,380.1000061035156,405.7999877929688,380.1000061035156,399.9500122070313,231.80599975585932,139728,BAJAJHLDNG.NS
2002-10-14,401.0,406.0,396.2000122070313,398.9500122070313,231.22640991210932,46608,BAJAJHLDNG.NS
2002-10-15,398.9500122070313,398.9500122070313,398.9500122070313,398.9500122070313,231.22640991210932,0,BAJAJHLDNG.NS
2002-10-16,399.5,402.0,395.0,397.75,230.5309295654297,51871,BAJAJHLDNG.NS
2002-10-17,395.0,404.7000122070313,391.25,395.25,229.08200073242188,76289,BAJAJHLDNG.NS
2002-10-18,394.0,419.0,394.0,402.2000122070313,233.1100311279297,55694,BAJAJHLDNG.NS
2002-10-21,405.0,409.9500122070313,403.0,404.3999938964844,234.3851776123047,79928,BAJAJHLDNG.NS
2002-10-22,410.0,410.0,381.2999877929688,386.7000122070313,224.1265106201172,154618,BAJAJHLDNG.NS
2002-10-23,382.1499938964844,405.1000061035156,382.1499938964844,401.6499938964844,232.7913055419922,380515,BAJAJHLDNG.NS
2002-10-24,400.8999938964844,413.8999938964844,395.0,408.9500122070313,237.02232360839844,287433,BAJAJHLDNG.NS
2002-10-25,409.8999938964844,417.8999938964844,401.7000122070313,410.8500061035156,238.12356567382807,97670,BAJAJHLDNG.NS
2002-10-28,412.0,415.0,405.0499877929688,407.1000061035156,235.9501342773437,83586,BAJAJHLDNG.NS
2002-10-29,408.0,426.7999877929688,406.0,420.6000061035156,243.77452087402344,272969,BAJAJHLDNG.NS
2002-10-30,421.8999938964844,435.5,401.0,421.75,244.44097900390625,272368,BAJAJHLDNG.NS
2002-10-31,420.0,425.0,413.0,423.75,245.60011291503903,99097,BAJAJHLDNG.NS
2002-11-01,425.0,446.0,423.5,442.0499877929688,256.2066650390625,448851,BAJAJHLDNG.NS
