Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2006-08-04,29.270000457763672,30.0,28.09000015258789,28.31999969482422,27.309965133666992,585300,URI
2006-08-07,28.329999923706055,28.459999084472656,26.81999969482422,26.8799991607666,25.92131996154785,1178700,URI
2006-08-08,23.700000762939453,24.350000381469727,21.690000534057617,21.959999084472656,21.176794052124023,8487700,URI
2006-08-09,22.3799991607666,22.3799991607666,21.200000762939453,21.459999084472656,20.694625854492188,3338800,URI
2006-08-10,21.389999389648438,21.549999237060547,20.760000228881836,20.959999084472656,20.212459564208984,2013900,URI
2006-08-11,20.860000610351562,20.959999084472656,20.25,20.299999237060547,19.576000213623047,2336400,URI
2006-08-14,20.299999237060547,20.950000762939453,20.25,20.59000015258789,19.85565757751465,2679300,URI
2006-08-15,20.959999084472656,21.530000686645508,20.8799991607666,21.450000762939453,20.684986114501953,1265700,URI
2006-08-16,21.700000762939453,22.350000381469727,21.5,22.18000030517578,21.388952255249023,1255300,URI
2006-08-17,22.049999237060547,22.790000915527344,22.049999237060547,22.280000686645508,21.485383987426758,1074500,URI
2006-08-18,22.200000762939453,22.200000762939453,21.559999465942383,21.829999923706055,21.05143165588379,871800,URI
2006-08-21,21.670000076293945,22.0,21.450000762939453,21.670000076293945,20.897140502929688,685000,URI
2006-08-22,21.670000076293945,22.010000228881836,21.5,21.559999465942383,20.791059494018555,662900,URI
2006-08-23,21.559999465942383,21.559999465942383,20.579999923706055,20.639999389648438,19.903871536254883,939600,URI
2006-08-24,20.790000915527344,20.84000015258789,20.25,20.6200008392334,19.884586334228516,685100,URI
2006-08-25,20.6200008392334,20.700000762939453,20.309999465942383,20.440000534057617,19.711008071899414,430300,URI
2006-08-28,20.520000457763672,21.020000457763672,20.350000381469727,20.989999771118164,20.24139404296875,570200,URI
2006-08-29,21.010000228881836,21.049999237060547,20.3700008392334,20.59000015258789,19.85565757751465,652600,URI
2006-08-30,20.700000762939453,20.790000915527344,20.309999465942383,20.5,19.76886558532715,475700,URI
2006-08-31,20.600000381469727,21.65999984741211,20.56999969482422,21.65999984741211,20.887500762939453,1095900,URI
2006-09-01,21.799999237060547,22.649999618530273,21.690000534057617,22.600000381469727,21.79397201538086,1503600,URI
2006-09-05,22.799999237060547,23.049999237060547,22.600000381469727,22.979999542236328,22.160417556762695,1298300,URI
2006-09-06,22.8799991607666,23.020000457763672,21.84000015258789,22.139999389648438,21.350378036499023,1286400,URI
2006-09-07,22.06999969482422,22.389999389648438,21.450000762939453,21.81999969482422,21.041790008544922,1014000,URI
2006-09-08,21.920000076293945,22.200000762939453,21.739999771118164,22.100000381469727,21.311805725097656,860700,URI
2006-09-11,22.0,22.010000228881836,21.219999313354492,21.549999237060547,20.781417846679688,893000,URI
2006-09-12,21.6299991607666,22.809999465942383,21.450000762939453,22.809999465942383,21.99648094177246,902000,URI
2006-09-13,22.799999237060547,23.469999313354492,22.75,23.420000076293945,22.584728240966797,989600,URI
2006-09-14,23.3700008392334,23.389999389648438,22.6299991607666,22.790000915527344,21.97719383239746,834000,URI
2006-09-15,22.790000915527344,22.90999984741211,22.520000457763672,22.829999923706055,22.015769958496094,703300,URI
2006-09-18,22.829999923706055,23.25,22.610000610351562,22.809999465942383,21.99648094177246,658100,URI
2006-09-19,22.850000381469727,22.8700008392334,22.329999923706055,22.68000030517578,21.87111473083496,1345300,URI
2006-09-20,22.850000381469727,23.100000381469727,22.280000686645508,22.3799991607666,21.58181381225586,854300,URI
