ETF_Symbol,ETF_Name,Category,Listing_Exchange,First_Traded_Date,Latest_Traded_Date,Total_Trading_Days,Latest_Price_INR,52_Week_High_INR,52_Week_Low_INR,1_Year_CAGR_Pct,3_Year_CAGR_Pct,5_Year_CAGR_Pct,10_Year_CAGR_Pct,Since_Inception_CAGR_Pct
NIFTYBEES,Nippon India ETF Nifty 50 BeES,Equity Large Cap (Nifty 50),NSE / BSE,2009-01-02,2026-08-13,4344,278.16,302.25,251.7,1.1,8.69,10.33,12.84,13.67
BANKBEES,Nippon India ETF Nifty Bank BeES,Sectoral Banking,NSE / BSE,2009-01-02,2026-08-13,4344,597.97,638.99,515.98,5.35,8.6,10.78,12.91,15.16
GOLDBEES,Nippon India ETF Gold BeES,Commodity Gold,NSE / BSE,2009-01-02,2026-08-13,4343,125.48,148.14,80.02,48.74,35.37,24.76,16.73,13.87
JUNIORBEES,Nippon India ETF Nifty Next 50 BeES,Equity Next 50,NSE / BSE,2009-01-02,2026-08-13,4344,807.69,818.04,632.34,14.71,19.81,14.69,15.09,17.78
SETFNIF50,SBI Nifty 50 ETF,Equity Large Cap (Nifty 50),NSE / BSE,2015-07-23,2026-08-13,2732,262.84,287.33,237.9,1.1,8.68,10.31,12.75,11.4
CPSEETF,CPSE ETF (Central Public Sector Enterprises),Thematic PSU Equity,NSE / BSE,2014-03-28,2026-08-13,3050,94.37,112.0,85.67,5.08,27.22,29.15,16.67,14.97
PSUBNKBEES,Nippon India ETF Nifty PSU Bank BeES,Sectoral PSU Banking,NSE / BSE,2009-01-02,2026-08-13,4344,98.11,110.4,74.31,27.83,25.08,29.31,13.73,9.48
LIQUIDBEES,Nippon India ETF Liquid BeES,Debt Liquid,NSE / BSE,2009-01-02,2026-08-13,4344,999.99,1029.99,969.99,0.62,3.48,3.63,3.57,3.11
SILVERBEES,Nippon India ETF Silver BeES,Commodity Silver,NSE / BSE,2022-02-04,2026-08-13,1119,220.97,360.0,106.64,99.13,44.54,,,33.64
SETFNN50,SBI Nifty Next 50 ETF,Equity Next 50,NSE / BSE,2015-03-25,2026-08-13,2814,801.14,840.0,636.01,14.82,19.91,14.75,14.2,13.81
INFRABEES,Nippon India ETF Nifty Infra BeES,Sectoral Infrastructure,NSE / BSE,2010-10-04,2026-08-13,3914,968.22,1018.3,871.35,5.64,16.26,16.35,13.36,6.24
